step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
4899,2023-07-03 13:30:15.143712269,2,193.94808999999998,45.0,-0.08725798097635888,8725.78124653589,-0.04229007698023679,0.0168511
4900,2023-07-03 13:30:15.143712269,2,193.94763999999998,35.0,-0.06786891348405692,6786.874497305692,-0.037290076980212916,0.0168511
4901,2023-07-03 13:30:15.143712269,2,193.94728999999998,35.0,-0.06787229098405692,6787.212247305692,-0.02729007698022201,0.0168511
4902,2023-07-03 13:30:15.285138575,2,193.94693999999998,20.0,-0.03878413469360396,3878.3969984603955,-0.02729007698022201,0.0164709
4903,2023-07-03 13:30:15.323101101,2,193.94674,27.0,-0.05236253932521534,5236.2374379215335,-0.012290076980235654,0.0164946
4904,2023-07-03 13:30:15.396476359,2,193.94647,44.0,-0.08532831848512872,8532.815276612871,-0.019290076980212234,0.0165719
4905,2023-07-03 13:30:15.396476359,2,193.95603,34.0,-0.06593299289282671,6593.282717382672,-0.03629007698023656,0.0165719
4906,2023-07-03 13:30:15.581315707,2,193.95569,48.0,-0.0930865171220495,9308.63423630495,-0.026290076980217236,0.0174759
4907,2023-07-03 13:30:15.581361922,2,193.94521,53.0,-0.10277006692020048,10276.988845920048,-0.04029007698022724,0.0178461
4908,2023-07-03 13:30:15.582182357,2,193.94468,35.0,-0.06786508053805693,6786.490897305693,-0.04529007698022269,0.0171565
4909,2023-07-03 13:30:15.582182357,2,193.93433,50.0,-0.09695394152650988,9695.376996150988,-0.02729007698022201,0.0171565
4910,2023-07-03 13:30:15.582182357,2,193.93383,41.0,-0.0794958710334381,7949.56994684381,-0.04229007698023679,0.0171565
4911,2023-07-03 13:30:15.629191527,2,193.93342,54.0,-0.10470652680543067,10470.636175843068,-0.03329007698022224,0.0165047
4912,2023-07-03 13:30:15.630064104,2,193.95288000000002,33.0,-0.06398944879659653,6398.928357459653,-0.04629007698022747,0.0165222
4913,2023-07-03 13:30:15.640355282,2,193.96255,17.0,-0.03296952815291336,3296.9363086913363,-0.02529007698021246,0.0165066
4914,2023-07-03 13:30:16.018283936,2,193.96238,21.0,-0.04073035843183415,4073.0192983834154,-0.009290076980221329,0.0165448
4915,2023-07-03 13:30:16.018313507,2,193.96217000000001,36.0,-0.06982189218028713,6982.172637228713,-0.013290076980212007,0.0165808
4916,2023-07-03 13:30:16.034138329,2,193.96181,52.0,-0.10084586541897028,10084.570075997028,-0.028290076980226786,0.0164659
4917,2023-07-03 13:30:16.046736026,2,193.96129,24.0,-0.046540303819524745,4654.013758152474,-0.04429007698021792,0.0166238
4918,2023-07-03 13:30:16.046768301,2,193.98105,52.0,-0.10086211179297028,10086.194555997028,-0.01629007698022633,0.0166233
4919,2023-07-03 13:30:16.190954094,2,193.98053000000002,19.0,-0.036848086033373764,3684.7921685373763,-0.04429007698021792,0.0164348
4920,2023-07-03 13:30:16.190979333,2,193.99034,55.0,-0.10668894638166088,10668.877995766088,-0.011290076980230879,0.0166424
4921,2023-07-03 13:30:16.191781519,2,193.98979,18.0,-0.034909846998143555,3490.968238614356,-0.04729007698023224,0.0164612
4922,2023-07-03 13:30:16.191909969,2,194.00961,13.0,-0.025220093785992572,2521.992848999257,-0.010290076980226104,0.0165296
4923,2023-07-03 13:30:16.588872897,2,194.00948000000002,50.0,-0.09700251090450988,9700.23449615099,-0.005290076980230651,0.0165943
4924,2023-07-03 13:30:16.588872897,2,194.01898,21.0,-0.04073531492683415,4073.514898383415,-0.04229007698023679,0.0165943
